STATE,TOTALPOP,MALE,FEMALE,UNDER18,OVER18,OVER65,ONERACE,WHITEALONE,BLACKALONE,AIANALONE,ASIANALONE,NHPIALONE,SORALONE,TWORACES,HISPANIC,NONHISPANIC,NHWHITE,NHBLACK,NHAIAN,NHASIAN,NHNHPI,NHSOR,NHTWORACES,HOUSINGUNITS,CVAP,CVAPMALE,CVAPFEMALE
New Jersey,8878503,4335032,4543471,1961521,6916982,1410285,8634958,6018074,1194882,19711,840168,3458,558665,243545,1794736,7083767,4916380,1125541,9813,834073,2286,38632,157042,3616614,6132177,2938884,3193293
New Mexico,2092454,1036190,1056264,488476,1603978,352687,2024190,1565366,44120,199845,32577,1644,180638,68264,1020817,1071637,782269,37911,182874,30341,1189,3855,33198,937920,1496286,730937,765349
New York,19572319,9501001,10071318,4108499,15463820,3146306,18956062,12459687,3065471,79512,1647606,8821,1694965,616257,3720983,15851336,10883812,2790504,46034,1633539,5689,106445,385313,8322722,13723456,6531858,7191598
North Carolina,10264876,4996638,5268238,2296614,7968262,1628013,9991600,7049919,2200761,123952,292992,7213,316763,273276,962665,9302211,6474688,2165301,112504,290525,5640,22962,230591,4627089,7514969,3584093,3930876
North Dakota,756717,387555,369162,175744,580973,112883,737105,655136,21985,40006,11006,863,8109,19612,28317,728400,638985,21577,38482,10876,863,992,16625,373063,564482,288707,275775
Ohio,11655397,5711765,5943632,2605010,9050387,1941294,11319971,9476047,1446193,22816,258199,3880,112836,335426,443415,11211982,9197115,1425887,16946,256584,3193,19411,292846,5202304,8820897,4259626,4561271
Oklahoma,3932870,1949528,1983342,956964,2975906,603394,3628255,2844070,286356,299621,85239,6260,106709,304615,417906,3514964,2581231,280944,285402,84020,5629,5195,272543,1731632,2837291,1384332,1452959
Oregon,4129803,2047338,2082465,867943,3261860,709555,3931451,3480920,78679,48060,180580,16625,126587,198352,537217,3592586,3125842,75232,38050,178412,15785,6055,153210,1768901,3054026,1494710,1559316
Pennsylvania,12791530,6265113,6526417,2662391,10129139,2281720,12471656,10300602,1430664,24691,436324,4198,275177,319874,935216,11856314,9777163,1363043,14483,433115,2616,20755,245139,5693314,9759723,4713377,5046346
Rhode Island,1057231,513792,543439,207344,849887,177889,1022010,850597,71561,5277,35958,810,57807,35221,163226,894005,761432,60415,3402,35401,661,7500,25194,468335,792920,377211,415709
South Carolina,5020806,2435472,2585334,1102502,3918304,863558,4904876,3372011,1344139,17645,78805,4002,88274,115930,285458,4735348,3196421,1333876,14748,78102,3784,9139,99278,2286826,3785353,1802488,1982865
South Dakota,870638,438946,431692,214108,656530,141534,847801,733719,17531,76190,12627,504,7230,22837,33024,837614,713546,17191,73396,12511,451,609,19910,392215,639669,319982,319687
Tennessee,6709356,3273278,3436078,1504920,5204436,1075124,6561820,5205132,1124473,18189,117600,3771,92655,147536,364174,6345182,4951558,1114068,15553,116563,3387,11794,132259,2963486,5019113,2404858,2614255
Texas,28260856,14034009,14226847,7338445,20922411,3462527,27499445,20903375,3428211,141425,1357273,25292,1643869,761411,11116881,17143975,11856336,3328707,71081,1340554,21739,44465,481093,10937026,18181328,8882364,9298964
Utah,3096848,1558868,1537980,923583,2173265,333949,3002812,2676482,36849,33721,71977,27554,156229,94036,434832,2662016,2425647,34571,28515,71000,26961,5248,70074,1087112,2029032,1011681,1017351
Vermont,624313,308097,316216,116654,507659,117264,611713,587883,8502,2132,10461,325,2410,12600,12038,612275,579340,7901,1807,10393,296,758,11780,334999,495821,242508,253313
Virginia,8454463,4159173,4295290,1865699,6588764,1271946,8134188,5717617,1621592,23873,541133,6179,223794,320275,792001,7662462,5227569,1588726,18092,536076,5146,21750,265103,3514032,6140257,2984735,3155522
Washington,7404107,3703301,3700806,1643546,5760561,1117673,6970721,5581128,281683,94449,631333,49090,333038,433386,937579,6466528,5073945,270704,79694,625682,47532,12618,356353,3106528,5257899,2606385,2651514
West Virginia,1817305,898578,918727,369438,1447867,352114,1785170,1691600,66990,3667,14523,419,7971,32135,28368,1788937,1671546,65848,3593,14319,404,3292,29935,892182,1434259,702446,731813
Wisconsin,5790716,2879894,2910822,1280903,4509813,953571,5652144,4946961,371200,51392,161841,2400,118350,138572,394392,5396324,4705599,364060,46936,160706,2107,6068,110848,2694527,4366395,2147191,2219204
Wyoming,581024,296202,284822,136371,444653,91462,565503,531304,5582,14164,5025,596,8832,15521,57341,523683,488437,5193,12547,4907,460,218,11921,276846,433356,220304,213052
Puerto Rico,3318447,1578318,1740129,648346,2670101,653736,3142798,2188014,386676,6838,6237,269,554764,175649,3275919,42528,31723,3179,118,2351,21,3143,1993,1560836,2626418,1227163,1399255
